visitante_id,nombre,edad,pais_origen,destino_id,fecha_visita,duracion_dias
1001,Turista_1765,32,Japón,16,2023-05-23,20
1002,Turista_204,58,Alemania,14,2024-09-18,9
1003,Turista_1357,36,Brasil,20,2023-12-31,4
1004,Turista_1452,43,EE.UU.,20,2023-03-31,21
1005,Turista_1578,69,EE.UU.,6,2024-12-20,27
1006,Turista_103,46,EE.UU.,5,2023-06-13,8
1007,Turista_2835,39,Brasil,18,2024-04-25,1
1008,Turista_1818,57,México,15,2023-03-25,17
1009,Turista_486,38,Argentina,6,2023-03-18,25
1010,Turista_1437,68,México,19,2024-11-03,9
1011,Turista_1252,55,Alemania,1,2024-05-31,20
1012,Turista_1152,37,Brasil,1,2024-04-29,13
1013,Turista_267,74,EE.UU.,13,2024-08-12,2
1014,Turista_2250,46,Argentina,3,2024-08-25,13
1015,Turista_1428,68,Argentina,10,2024-08-21,9
1016,Turista_2515,21,Canadá,3,2023-04-14,30
1017,Turista_2351,72,Alemania,9,2024-03-27,20
1018,Turista_1484,24,Japón,8,2024-05-01,6
1019,Turista_2463,45,Japón,3,2023-12-05,28
1020,Turista_2916,45,Argentina,13,2024-11-17,1
1021,Turista_2124,21,Brasil,6,2024-07-19,28
1022,Turista_2471,39,EE.UU.,13,2024-04-22,25
1023,Turista_1178,29,EE.UU.,20,2024-12-23,5
1024,Turista_1610,62,Argentina,20,2024-08-29,3
1025,Turista_2230,20,México,12,2023-08-11,4
1026,Turista_1447,39,Alemania,13,2023-01-09,1
1027,Turista_2670,61,EE.UU.,2,2023-02-22,14
1028,Turista_2847,19,Argentina,16,2023-03-18,9
1029,Turista_2714,41,EE.UU.,6,2024-12-18,30
1030,Turista_1090,51,Japón,19,2024-05-17,24
1031,Turista_2125,44,Argentina,13,2023-11-12,4
1032,Turista_2489,72,Alemania,17,2024-09-15,18
1033,Turista_765,58,Argentina,9,2023-06-14,14
1034,Turista_2416,18,Canadá,17,2023-10-06,25
1035,Turista_1518,25,Argentina,2,2023-01-27,4
1036,Turista_2929,40,Argentina,19,2023-03-11,25
1037,Turista_193,55,Brasil,19,2023-08-06,10
1038,Turista_355,23,Japón,7,2023-12-31,3
1039,Turista_1033,39,Alemania,10,2024-12-01,23
1040,Turista_145,42,Brasil,10,2023-11-02,7
1041,Turista_1426,35,Argentina,20,2023-05-04,10
1042,Turista_2811,34,Alemania,9,2023-01-19,13
1043,Turista_140,78,Canadá,17,2023-09-14,4
1044,Turista_1303,29,Alemania,15,2023-10-23,18
1045,Turista_2132,23,EE.UU.,2,2023-01-22,11
1046,Turista_747,43,Brasil,4,2024-03-25,25
1047,Turista_2189,44,Alemania,19,2024-07-05,4
1048,Turista_1809,25,Japón,17,2024-07-03,24
1049,Turista_64,36,Canadá,5,2023-02-17,14
1050,Turista_2885,77,España,7,2024-11-25,18
1051,Turista_1964,59,Argentina,18,2024-08-09,8
1052,Turista_1489,18,Alemania,7,2024-12-21,27
1053,Turista_2866,74,Argentina,17,2023-07-02,10
1054,Turista_680,46,México,7,2024-03-10,5
1055,Turista_252,62,EE.UU.,4,2023-04-17,23
1056,Turista_766,66,Brasil,8,2023-07-07,7
1057,Turista_52,52,EE.UU.,13,2023-03-27,12
1058,Turista_2420,57,México,4,2024-03-31,25
1059,Turista_737,31,México,6,2023-05-17,3
1060,Turista_1900,52,Brasil,5,2023-12-02,26
1061,Turista_2011,65,Alemania,12,2024-08-29,4
1062,Turista_150,62,México,4,2024-04-13,10
1063,Turista_1603,37,España,9,2024-08-24,4
1064,Turista_255,73,Argentina,4,2024-07-24,15
1065,Turista_1529,66,Argentina,19,2024-02-07,29
1066,Turista_45,30,Canadá,14,2024-06-23,10
1067,Turista_757,78,Japón,5,2023-03-13,21
1068,Turista_2410,55,México,18,2023-01-24,30
1069,Turista_1205,66,México,10,2024-09-15,22
1070,Turista_241,63,España,19,2024-04-29,16
1071,Turista_1403,66,EE.UU.,12,2023-02-25,15
1072,Turista_2277,79,EE.UU.,18,2023-08-11,19
1073,Turista_1624,25,Argentina,17,2024-09-23,29
1074,Turista_247,60,Argentina,11,2023-06-28,20
1075,Turista_1085,37,Alemania,3,2024-03-09,19
1076,Turista_1629,77,Brasil,17,2024-03-25,18
1077,Turista_603,50,Japón,1,2024-05-06,26
1078,Turista_212,43,España,15,2023-07-08,12
1079,Turista_332,56,Brasil,9,2024-07-31,25
1080,Turista_1771,38,Brasil,15,2024-02-24,16
1081,Turista_1568,70,Canadá,3,2023-09-06,1
1082,Turista_536,66,Brasil,19,2024-08-10,16
1083,Turista_1940,79,Canadá,13,2024-10-10,2
1084,Turista_1433,59,Brasil,12,2023-06-13,24
1085,Turista_444,60,España,20,2023-09-12,15
1086,Turista_1981,71,Canadá,1,2024-04-20,7
1087,Turista_135,79,EE.UU.,17,2024-02-21,28
1088,Turista_2782,58,Canadá,13,2023-06-19,1
