,id_venta,cliente_id,producto,cantidad,precio_unitario,region,fecha,metodo_pago,descuento,total,nombre,edad,tipo_cliente,categoria_venta
0,1,1195,Teclado,5,543.89,Sur,2025-05-23 00:28:17.173264,Tarjeta,0.21,2148.3655,Cliente_195,44,Regular,Alta
1,2,1076,USB,2,1185.7,Oeste,2025-02-03 00:28:17.173284,Tarjeta,0.13,2063.118,Cliente_76,43,Regular,Alta
2,3,1154,Monitor,7,1445.68,Sur,2025-01-14 00:28:17.173290,Transferencia,0.06,9512.5744,Cliente_154,43,Premium,Alta
3,4,1144,Teclado,2,1883.15,Centro,2025-05-23 00:28:17.173294,Efectivo,0.07,3502.659,Cliente_144,20,Premium,Alta
4,5,1179,Tablet,4,1764.45,Sur,2024-08-16 00:28:17.173298,Efectivo,0.13,6140.286,Cliente_179,19,Regular,Alta
5,6,1086,Monitor,7,1035.23,Oeste,2025-01-23 00:28:17.173303,Tarjeta,0.23,5579.889700000001,Cliente_86,31,Premium,Alta
6,7,1185,Laptop,4,1551.56,Este,2024-07-12 00:28:17.173308,Tarjeta,0.08,5709.7408000000005,Cliente_185,61,Premium,Alta
7,8,1029,Teclado,7,1128.67,Norte,2024-10-07 00:28:17.173314,Transferencia,0.09,7189.6279,Cliente_29,61,Premium,Alta
8,9,1069,Teclado,7,1109.88,Norte,2024-11-20 00:28:17.173329,Tarjeta,0.18,6370.711200000002,Cliente_69,21,Regular,Alta
9,10,1047,Laptop,1,238.34,Este,2024-09-18 00:28:17.173335,Transferencia,0.07,221.6562,Cliente_47,56,Premium,Baja
10,11,1094,Teclado,6,261.01,Norte,2024-09-12 00:28:17.173339,Efectivo,0.18,1284.1692,Cliente_94,41,Regular,Alta
11,12,1190,Laptop,9,1063.77,Centro,2025-03-18 00:28:17.173343,Efectivo,0.12,8425.0584,Cliente_190,45,Regular,Alta
12,13,1197,Monitor,2,545.03,Centro,2025-05-25 00:28:17.173348,Transferencia,0.01,1079.1594,Cliente_197,30,Regular,Alta
13,14,1144,Tablet,3,51.86,Oeste,2025-03-26 00:28:17.173352,Efectivo,0.12,136.91039999999998,Cliente_144,20,Premium,Baja
14,15,1176,Laptop,5,1448.45,Oeste,2025-01-27 00:28:17.173356,Tarjeta,0.28,5214.42,Cliente_176,68,Premium,Alta
15,16,1085,Teléfono,9,74.65,Sur,2025-01-31 00:28:17.173360,Tarjeta,0.09,611.3835,Cliente_85,25,Regular,Media
16,17,1039,USB,4,1194.6,Oeste,2025-04-18 00:28:17.173364,Transferencia,0.1,4300.56,Cliente_39,61,Regular,Alta
17,18,1100,USB,1,1083.0,Centro,2024-07-02 00:28:17.173368,Efectivo,0.02,1061.34,Cliente_100,32,Regular,Alta
18,19,1033,Laptop,4,1937.94,Oeste,2025-04-27 00:28:17.173372,Efectivo,0.18,6356.443200000001,Cliente_33,59,Regular,Alta
19,20,1101,USB,6,973.58,Norte,2024-09-16 00:28:17.173377,Transferencia,0.25,4381.110000000001,Cliente_101,62,Regular,Alta
20,21,1023,Teclado,5,136.57,Sur,2024-09-18 00:28:17.173381,Transferencia,0.11,607.7365,Cliente_23,55,Regular,Media
21,22,1010,Impresora,1,1107.86,Sur,2024-10-31 00:28:17.173385,Efectivo,0.07,1030.3097999999998,Cliente_10,40,Regular,Alta
22,23,1069,Impresora,4,1683.78,Centro,2024-07-06 00:28:17.173389,Transferencia,0.29,4781.9352,Cliente_69,21,Regular,Alta
23,24,1100,USB,6,1993.73,Oeste,2025-02-16 00:28:17.173393,Tarjeta,0.22,9330.656400000002,Cliente_100,32,Regular,Alta
24,25,1034,Monitor,4,866.38,Norte,2024-07-22 00:28:17.173397,Efectivo,0.17,2876.3816,Cliente_34,45,Regular,Alta
25,26,1180,Mouse,9,647.39,Oeste,2024-11-27 00:28:17.173401,Transferencia,0.09,5302.1241,Cliente_180,59,Premium,Alta
26,27,1138,Monitor,5,1814.24,Este,2024-12-20 00:28:17.173405,Transferencia,0.07,8436.216,Cliente_138,52,Regular,Alta
27,28,1147,Mouse,8,390.57,Oeste,2025-01-06 00:28:17.173410,Transferencia,0.21,2468.4024,Cliente_147,43,Premium,Alta
28,29,1186,Impresora,9,1234.7,Centro,2025-01-03 00:28:17.173414,Efectivo,0.16,9334.332,Cliente_186,61,Premium,Alta
29,30,1096,Impresora,5,817.37,Oeste,2024-10-07 00:28:17.173418,Tarjeta,0.16,3432.954,Cliente_96,42,Regular,Alta
30,31,1001,Laptop,6,91.75,Sur,2024-12-01 00:28:17.173422,Tarjeta,0.02,539.49,Cliente_1,56,Premium,Media
31,32,1069,Tablet,1,701.1,Norte,2025-02-09 00:28:17.173426,Efectivo,0.15,595.9350000000001,Cliente_69,21,Regular,Media
32,33,1004,Teléfono,7,537.8,Centro,2025-05-09 00:28:17.173430,Transferencia,0.25,2823.45,Cliente_4,32,Regular,Alta
33,34,1016,Monitor,4,1375.32,Este,2025-06-15 00:28:17.173435,Efectivo,0.28,3960.9216,Cliente_16,41,Premium,Alta
34,35,1024,Teclado,2,1898.09,Norte,2025-01-14 00:28:17.173439,Efectivo,0.03,3682.2946,Cliente_24,19,Regular,Alta
35,36,1080,Mouse,5,543.41,Norte,2024-09-08 00:28:17.173443,Transferencia,0.19,2200.8105,Cliente_80,53,Regular,Alta
36,37,1002,USB,3,1624.82,Sur,2024-07-19 00:28:17.173447,Efectivo,0.17,4045.8018,Cliente_2,69,Regular,Alta
37,38,1128,Teclado,6,120.17,Sur,2024-08-07 00:28:17.173451,Tarjeta,0.27,526.3446,Cliente_128,50,Regular,Media
38,39,1160,Tablet,8,1080.86,Sur,2025-03-10 00:28:17.173455,Efectivo,0.23,6658.097599999999,Cliente_160,66,Regular,Alta
39,40,1084,Mouse,7,150.39,Centro,2024-09-07 00:28:17.173459,Transferencia,0.29,747.4383,Cliente_84,32,Regular,Media
40,41,1152,Monitor,3,1868.73,Oeste,2024-07-18 00:28:17.173463,Efectivo,0.29,3980.3949,Cliente_152,32,Premium,Alta
41,42,1140,Laptop,8,1535.04,Norte,2025-03-28 00:28:17.173468,Tarjeta,0.07,11420.6976,Cliente_140,52,Regular,Alta
42,43,1178,Teclado,2,1319.32,Oeste,2024-12-14 00:28:17.173472,Efectivo,0.22,2058.1392,Cliente_178,45,Regular,Alta
43,44,1163,Tablet,9,1649.55,Oeste,2025-01-22 00:28:17.173476,Efectivo,0.16,12470.597999999998,Cliente_163,21,Premium,Alta
44,45,1124,Monitor,4,1298.56,Sur,2024-08-17 00:28:17.173480,Efectivo,0.06,4882.585599999999,Cliente_124,26,Premium,Alta
45,46,1033,Impresora,1,1938.2,Oeste,2025-02-07 00:28:17.173485,Efectivo,0.06,1821.908,Cliente_33,59,Regular,Alta
46,47,1161,Impresora,8,1430.78,Norte,2024-09-24 00:28:17.173489,Transferencia,0.02,11217.3152,Cliente_161,69,Regular,Alta
47,48,1189,Monitor,7,1850.07,Norte,2025-01-26 00:28:17.173493,Tarjeta,0.24,9842.3724,Cliente_189,28,Premium,Alta
48,49,1179,Monitor,5,1039.09,Este,2024-12-18 00:28:17.173497,Tarjeta,0.1,4675.905,Cliente_179,19,Regular,Alta
49,50,1171,Monitor,5,242.96,Centro,2025-02-03 00:28:17.173501,Tarjeta,0.26,898.952,Cliente_171,46,Regular,Media
50,51,1101,Mouse,7,1061.07,Oeste,2025-02-13 00:28:17.173505,Efectivo,0.18,6090.5418,Cliente_101,62,Regular,Alta
51,52,1012,Monitor,5,262.48,Centro,2025-06-20 00:28:17.173508,Tarjeta,0.2,1049.92,Cliente_12,28,Premium,Alta
52,53,1067,Teclado,8,1189.06,Centro,2024-10-04 00:28:17.173512,Transferencia,0.09,8656.3568,Cliente_67,67,Premium,Alta
53,54,1065,Tablet,6,970.16,Centro,2025-05-29 00:28:17.173517,Efectivo,0.14,5006.0256,Cliente_65,34,Regular,Alta
54,55,1161,Mouse,5,1248.93,Centro,2025-05-31 00:28:17.173521,Efectivo,0.12,5495.292,Cliente_161,69,Regular,Alta
55,56,1168,Monitor,9,29.99,Norte,2024-10-01 00:28:17.173525,Tarjeta,0.07,251.01629999999997,Cliente_168,62,Regular,Baja
56,57,1074,Teléfono,2,397.73,Oeste,2024-11-07 00:28:17.173529,Efectivo,0.25,596.595,Cliente_74,46,Regular,Media
57,58,1043,USB,1,987.75,Este,2024-09-28 00:28:17.173533,Efectivo,0.19,800.0775000000001,Cliente_43,68,Premium,Media
58,59,1044,Teléfono,8,1901.5,Centro,2025-02-19 00:28:17.173537,Tarjeta,0.01,15059.88,Cliente_44,24,Regular,Alta
59,60,1029,Tablet,3,773.38,Este,2025-01-03 00:28:17.173542,Transferencia,0.25,1740.105,Cliente_29,61,Premium,Alta
60,61,1141,Impresora,7,854.5,Norte,2024-11-02 00:28:17.173545,Transferencia,0.03,5802.055,Cliente_141,54,Regular,Alta
61,62,1012,Laptop,8,1432.25,Norte,2024-09-02 00:28:17.173549,Tarjeta,0.12,10083.04,Cliente_12,28,Premium,Alta
62,63,1095,Laptop,6,1211.55,Sur,2024-09-22 00:28:17.173553,Transferencia,0.17,6033.518999999999,Cliente_95,43,Regular,Alta
63,64,1046,USB,9,604.86,Centro,2025-04-09 00:28:17.173557,Transferencia,0.0,5443.74,Cliente_46,26,Regular,Alta
64,65,1130,Impresora,7,827.52,Sur,2024-08-20 00:28:17.173561,Transferencia,0.2,4634.112,Cliente_130,40,Regular,Alta
65,66,1035,Mouse,5,443.22,Este,2024-11-22 00:28:17.173574,Efectivo,0.2,1772.8800000000003,Cliente_35,33,Regular,Alta
66,67,1081,Mouse,8,1932.38,Oeste,2025-01-17 00:28:17.173579,Efectivo,0.2,12367.232000000002,Cliente_81,31,Premium,Alta
67,68,1090,Mouse,2,269.96,Sur,2024-08-26 00:28:17.173583,Efectivo,0.05,512.924,Cliente_90,33,Regular,Media
68,69,1008,Laptop,7,749.96,Norte,2024-12-02 00:28:17.173587,Transferencia,0.08,4829.7424,Cliente_8,56,Premium,Alta
69,70,1093,Teléfono,4,61.42,Centro,2025-01-26 00:28:17.173591,Efectivo,0.07,228.4824,Cliente_93,64,Regular,Baja
70,71,1154,Laptop,9,451.34,Este,2025-04-10 00:28:17.173595,Transferencia,0.29,2884.0626,Cliente_154,43,Premium,Alta
71,72,1090,Teclado,1,1563.14,Norte,2024-11-07 00:28:17.173599,Tarjeta,0.02,1531.8772,Cliente_90,33,Regular,Alta
72,73,1162,Monitor,7,410.34,Oeste,2024-08-24 00:28:17.173603,Transferencia,0.13,2498.9706,Cliente_162,49,Regular,Alta
73,74,1115,Mouse,6,169.33,Centro,2025-04-23 00:28:17.173607,Efectivo,0.26,751.8252,Cliente_115,52,Regular,Media
74,75,1105,Teléfono,8,954.16,Oeste,2025-04-27 00:28:17.173611,Transferencia,0.23,5877.6256,Cliente_105,26,Regular,Alta
75,76,1135,Tablet,5,29.84,Oeste,2024-09-23 00:28:17.173615,Efectivo,0.25,111.9,Cliente_135,57,Premium,Baja
76,77,1196,USB,1,178.68,Centro,2025-03-08 00:28:17.173619,Efectivo,0.29,126.8628,Cliente_196,69,Regular,Baja
77,78,1058,Tablet,1,1617.18,Centro,2024-12-19 00:28:17.173623,Tarjeta,0.12,1423.1184,Cliente_58,64,Premium,Alta
78,79,1114,Monitor,9,1545.23,Oeste,2024-11-07 00:28:17.173627,Tarjeta,0.09,12655.4337,Cliente_114,25,Premium,Alta
79,80,1075,Teléfono,6,1831.13,Este,2025-05-07 00:28:17.173631,Efectivo,0.01,10876.9122,Cliente_75,35,Regular,Alta
80,81,1157,Laptop,5,1710.49,Centro,2024-08-09 00:28:17.173635,Transferencia,0.05,8124.8275,Cliente_157,68,Regular,Alta
81,82,1120,Laptop,1,1369.52,Norte,2024-09-29 00:28:17.173639,Tarjeta,0.17,1136.7016,Cliente_120,56,Regular,Alta
82,83,1164,Teclado,6,114.14,Sur,2024-11-21 00:28:17.173643,Tarjeta,0.05,650.598,Cliente_164,47,Premium,Media
83,84,1021,Teclado,6,1567.87,Este,2024-09-07 00:28:17.173647,Efectivo,0.22,7337.6316,Cliente_21,61,Premium,Alta
84,85,1164,Laptop,3,1692.57,Centro,2024-10-13 00:28:17.173651,Transferencia,0.01,5026.9329,Cliente_164,47,Premium,Alta
85,86,1138,Tablet,8,1600.17,Centro,2024-07-01 00:28:17.173655,Tarjeta,0.08,11777.2512,Cliente_138,52,Regular,Alta
86,87,1101,USB,1,1021.87,Este,2025-03-29 00:28:17.173659,Tarjeta,0.21,807.2773000000001,Cliente_101,62,Regular,Media
87,88,1152,Mouse,1,473.47,Sur,2024-12-25 00:28:17.173663,Transferencia,0.08,435.59240000000005,Cliente_152,32,Premium,Alta
88,89,1192,Tablet,6,1692.21,Oeste,2025-05-30 00:28:17.173667,Tarjeta,0.22,7919.5428,Cliente_192,56,Premium,Alta
89,90,1177,USB,1,1457.05,Norte,2024-11-14 00:28:17.173671,Transferencia,0.3,1019.935,Cliente_177,39,Premium,Alta
90,91,1099,Teclado,6,1961.71,Centro,2025-05-06 00:28:17.173675,Efectivo,0.24,8945.3976,Cliente_99,46,Regular,Alta
91,92,1036,Monitor,1,319.83,Sur,2024-07-25 00:28:17.173679,Tarjeta,0.1,287.847,Cliente_36,32,Regular,Baja
92,93,1096,USB,6,459.07,Norte,2024-12-31 00:28:17.173684,Efectivo,0.27,2010.7266,Cliente_96,42,Regular,Alta
93,94,1152,Laptop,3,431.48,Este,2024-08-17 00:28:17.173689,Transferencia,0.02,1268.5512,Cliente_152,32,Premium,Alta
94,95,1151,Teclado,8,1587.15,Centro,2024-09-23 00:28:17.173693,Efectivo,0.22,9903.816,Cliente_151,26,Regular,Alta
95,96,1190,Teclado,6,381.95,Oeste,2025-05-20 00:28:17.173697,Efectivo,0.01,2268.783,Cliente_190,45,Regular,Alta
96,97,1037,Mouse,1,142.65,Este,2024-11-19 00:28:17.173701,Efectivo,0.05,135.5175,Cliente_37,64,Regular,Baja
97,98,1012,Laptop,5,1997.14,Centro,2024-11-27 00:28:17.173705,Transferencia,0.3,6989.99,Cliente_12,28,Premium,Alta
98,99,1113,Mouse,8,59.39,Sur,2025-01-15 00:28:17.173709,Transferencia,0.11,422.8568,Cliente_113,34,Regular,Alta
99,100,1183,Laptop,3,1672.14,Norte,2025-06-17 00:28:17.173713,Transferencia,0.25,3762.315,Cliente_183,45,Regular,Alta
100,101,1013,Mouse,6,737.08,Norte,2024-09-28 00:28:17.173717,Transferencia,0.11,3936.007200000001,Cliente_13,41,Premium,Alta
101,102,1023,USB,5,1684.81,Centro,2025-02-18 00:28:17.173721,Transferencia,0.25,6318.037499999999,Cliente_23,55,Regular,Alta
102,103,1099,Tablet,6,1113.69,Este,2024-08-03 00:28:17.173725,Tarjeta,0.29,4744.3194,Cliente_99,46,Regular,Alta
103,104,1105,Monitor,1,1804.25,Oeste,2024-07-03 00:28:17.173729,Tarjeta,0.13,1569.6975,Cliente_105,26,Regular,Alta
104,105,1030,Monitor,7,1853.12,Sur,2025-03-26 00:28:17.173733,Tarjeta,0.17,10766.6272,Cliente_30,42,Regular,Alta
105,106,1017,Laptop,9,28.11,Centro,2025-05-13 00:28:17.173737,Efectivo,0.19,204.9219,Cliente_17,20,Regular,Baja
106,107,1113,Teléfono,2,160.07,Sur,2025-01-16 00:28:17.173741,Efectivo,0.28,230.5008,Cliente_113,34,Regular,Baja
107,108,1062,Impresora,5,508.21,Norte,2024-12-04 00:28:17.173745,Transferencia,0.08,2337.766,Cliente_62,64,Regular,Alta
108,109,1084,Teclado,4,1341.94,Oeste,2024-09-15 00:28:17.173749,Transferencia,0.18,4401.5632000000005,Cliente_84,32,Regular,Alta
109,110,1112,Teclado,6,1777.66,Sur,2024-07-27 00:28:17.173754,Tarjeta,0.1,9599.364,Cliente_112,68,Regular,Alta
110,111,1086,Laptop,6,925.28,Centro,2024-09-09 00:28:17.173758,Transferencia,0.07,5163.0624,Cliente_86,31,Premium,Alta
111,112,1141,USB,2,1217.88,Oeste,2025-03-25 00:28:17.173762,Efectivo,0.03,2362.6872000000003,Cliente_141,54,Regular,Alta
112,113,1187,Mouse,2,385.11,Este,2025-02-19 00:28:17.173766,Transferencia,0.19,623.8782000000001,Cliente_187,37,Regular,Media
