id_venta,cliente_id,producto,cantidad,precio_unitario,region,fecha,metodo_pago,descuento,total
1,1195,Teclado,5,543.89,Sur,2025-05-23 00:28:17.173264,Tarjeta,0.21,2148.3655
2,1076,USB,2,1185.7,Oeste,2025-02-03 00:28:17.173284,Tarjeta,0.13,2063.118
3,1154,Monitor,7,1445.68,Sur,2025-01-14 00:28:17.173290,Transferencia,0.06,9512.5744
4,1144,Teclado,2,1883.15,Centro,2025-05-23 00:28:17.173294,Efectivo,0.07,3502.659
5,1179,Tablet,4,1764.45,Sur,2024-08-16 00:28:17.173298,Efectivo,0.13,6140.286
6,1086,Monitor,7,1035.23,Oeste,2025-01-23 00:28:17.173303,Tarjeta,0.23,5579.889700000001
7,1185,Laptop,4,1551.56,Este,2024-07-12 00:28:17.173308,Tarjeta,0.08,5709.7408000000005
8,1029,Teclado,7,1128.67,Norte,2024-10-07 00:28:17.173314,Transferencia,0.09,7189.6279
9,1069,Teclado,7,1109.88,Norte,2024-11-20 00:28:17.173329,Tarjeta,0.18,6370.711200000002
10,1047,Laptop,1,238.34,Este,2024-09-18 00:28:17.173335,Transferencia,0.07,221.65619999999998
11,1094,Teclado,6,261.01,Norte,2024-09-12 00:28:17.173339,Efectivo,0.18,1284.1692
12,1190,Laptop,9,1063.77,Centro,2025-03-18 00:28:17.173343,Efectivo,0.12,8425.0584
13,1197,Monitor,2,545.03,Centro,2025-05-25 00:28:17.173348,Transferencia,0.01,1079.1594
14,1144,Tablet,3,51.86,Oeste,2025-03-26 00:28:17.173352,Efectivo,0.12,136.91039999999998
15,1176,Laptop,5,1448.45,Oeste,2025-01-27 00:28:17.173356,Tarjeta,0.28,5214.42
16,1085,Teléfono,9,74.65,Sur,2025-01-31 00:28:17.173360,Tarjeta,0.09,611.3835
17,1039,USB,4,1194.6,Oeste,2025-04-18 00:28:17.173364,Transferencia,0.1,4300.5599999999995
18,1100,USB,1,1083.0,Centro,2024-07-02 00:28:17.173368,Efectivo,0.02,1061.34
19,1033,Laptop,4,1937.94,Oeste,2025-04-27 00:28:17.173372,Efectivo,0.18,6356.443200000001
20,1101,USB,6,973.58,Norte,2024-09-16 00:28:17.173377,Transferencia,0.25,4381.110000000001
21,1023,Teclado,5,136.57,Sur,2024-09-18 00:28:17.173381,Transferencia,0.11,607.7365
22,1010,Impresora,1,1107.86,Sur,2024-10-31 00:28:17.173385,Efectivo,0.07,1030.3097999999998
23,1069,Impresora,4,1683.78,Centro,2024-07-06 00:28:17.173389,Transferencia,0.29,4781.9352
24,1100,USB,6,1993.73,Oeste,2025-02-16 00:28:17.173393,Tarjeta,0.22,9330.656400000002
25,1034,Monitor,4,866.38,Norte,2024-07-22 00:28:17.173397,Efectivo,0.17,2876.3815999999997
26,1180,Mouse,9,647.39,Oeste,2024-11-27 00:28:17.173401,Transferencia,0.09,5302.1241
27,1138,Monitor,5,1814.24,Este,2024-12-20 00:28:17.173405,Transferencia,0.07,8436.216
28,1147,Mouse,8,390.57,Oeste,2025-01-06 00:28:17.173410,Transferencia,0.21,2468.4024
29,1186,Impresora,9,1234.7,Centro,2025-01-03 00:28:17.173414,Efectivo,0.16,9334.332
30,1096,Impresora,5,817.37,Oeste,2024-10-07 00:28:17.173418,Tarjeta,0.16,3432.9539999999997
31,1001,Laptop,6,91.75,Sur,2024-12-01 00:28:17.173422,Tarjeta,0.02,539.49
32,1069,Tablet,1,701.1,Norte,2025-02-09 00:28:17.173426,Efectivo,0.15,595.9350000000001
33,1004,Teléfono,7,537.8,Centro,2025-05-09 00:28:17.173430,Transferencia,0.25,2823.45
34,1016,Monitor,4,1375.32,Este,2025-06-15 00:28:17.173435,Efectivo,0.28,3960.9215999999997
35,1024,Teclado,2,1898.09,Norte,2025-01-14 00:28:17.173439,Efectivo,0.03,3682.2945999999997
36,1080,Mouse,5,543.41,Norte,2024-09-08 00:28:17.173443,Transferencia,0.19,2200.8105
37,1002,USB,3,1624.82,Sur,2024-07-19 00:28:17.173447,Efectivo,0.17,4045.8017999999997
