campaign_id,tipo_campaña,fecha_inicio,fecha_fin,presupuesto,clicks,conversiones,channel_id,customer_id,canal,costo_por_click,equipo_responsable,edad,genero,pais,segmento,fecha_registro
3,Email,2023-01-03,2023-01-12,4428.26,889,50,2,183.0,Facebook Ads,0.5,Equipo B,,,,,
4,Google Ads,2023-01-04,2023-01-13,3795.01,568,-1,5,142.0,,,,,,,,
5,Google Ads,2023-01-05,2023-01-14,4129.53,1279,163,3,232.0,,,,32.0,M,Colombia,Premium,2022-05-12
6,SEO,2023-01-06,2023-01-15,3464.53,424,111,1,494.0,Email,0.1,Equipo A,,,,,
7,Email,2023-01-07,2023-01-16,3615.24,500,92,3,164.0,,,,45.0,F,España,Premium,2023-01-16
8,Email,2023-01-08,2023-01-17,4321.38,1699,133,1,389.0,Email,0.1,Equipo A,,,,,
9,Google Ads,2023-01-09,2023-01-18,1623.51,1857,143,5,475.0,,,,40.0,F,México,Básico,2023-06-23
10,Redes Sociales,2023-01-10,2023-01-19,2702.41,1064,123,6,566.0,Influencers,1.2,Equipo D,50.0,F,Colombia,Básico,2022-08-22
11,Google Ads,2023-01-11,2023-01-20,1495.44,644,89,5,312.0,,,,19.0,M,España,Premium,2022-03-13
12,Google Ads,2023-01-12,2023-01-21,4944.51,1252,8,4,247.0,Instagram Ads,500.0,Equipo C,32.0,M,México,Básico,2023-01-01
14,Google Ads,2023-01-14,2023-01-23,677.42,549,158,4,570.0,Instagram Ads,500.0,Equipo C,,,,,
15,SEO,2023-01-15,2023-01-24,3675.09,513,115,5,248.0,,,,32.0,M,España,Premium,2022-11-04
16,Email,2023-01-16,2023-01-25,4663.62,1913,54,2,187.0,Facebook Ads,0.5,Equipo B,59.0,F,México,Básico,2022-10-16
17,SEO,2023-01-17,2023-01-26,1312.59,1197,144,5,423.0,,,,65.0,M,España,Premium,2023-07-20
18,SEO,2023-01-18,2023-01-27,3055.75,162,99,6,495.0,Influencers,1.2,Equipo D,65.0,M,Colombia,Premium,2023-07-15
19,SEO,2023-01-19,2023-01-28,4619.7,1085,96,3,503.0,,,,,,,,
20,Google Ads,2023-01-20,2023-01-29,652.76,1199,-1,5,181.0,,,,60.0,F,Colombia,Básico,2022-04-06
21,Redes Sociales,2023-01-21,2023-01-30,3638.39,1638,51,5,385.0,,,,,,,,
22,Email,2023-01-22,2023-01-31,1838.07,380,185,1,481.0,Email,0.1,Equipo A,41.0,M,México,Premium,2022-05-21
23,Redes Sociales,2023-01-23,2023-02-01,4659.78,1974,110,1,369.0,Email,0.1,Equipo A,67.0,M,España,Premium,2023-02-03
24,SEO,2023-01-24,2023-02-02,4869.76,1356,134,1,391.0,Email,0.1,Equipo A,67.0,F,Argentina,Básico,2023-09-14
25,SEO,2023-01-25,2023-02-03,4749.2,189,110,5,552.0,,,,26.0,F,México,Premium,2022-07-12
26,Redes Sociales,2023-01-26,2023-02-04,2633.96,1474,28,2,123.0,Facebook Ads,0.5,Equipo B,43.0,M,España,Premium,2023-10-26
27,Redes Sociales,2023-01-27,2023-02-05,4379.19,951,8,3,410.0,,,,65.0,M,Colombia,Premium,2023-02-21
28,Redes Sociales,2023-01-28,2023-02-06,4300.47,1170,112,3,560.0,,,,,,,,
29,SEO,2023-01-29,2023-02-07,1935.95,566,23,6,307.0,Influencers,1.2,Equipo D,28.0,F,Colombia,Básico,2022-04-16
30,SEO,2023-01-30,2023-02-08,4230.12,618,158,2,537.0,Facebook Ads,0.5,Equipo B,57.0,F,Chile,Básico,2022-02-08
32,Email,2023-02-01,2023-02-10,3183.21,895,54,3,435.0,,,,65.0,F,Argentina,Básico,2022-05-31
34,Redes Sociales,2023-02-03,2023-02-12,1042.55,167,79,1,420.0,Email,0.1,Equipo A,,,,,
35,Redes Sociales,2023-02-04,2023-02-13,846.29,937,199,1,596.0,Email,0.1,Equipo A,58.0,M,Chile,Premium,2023-08-05
39,Email,2023-02-08,2023-02-17,794.1,99,117,4,264.0,Instagram Ads,500.0,Equipo C,,,,,
42,Google Ads,2023-02-11,2023-02-20,4058.25,68,53,5,141.0,,,,27.0,F,Chile,Básico,2023-05-10
43,Redes Sociales,2023-02-12,2023-02-21,1934.39,775,148,2,384.0,Facebook Ads,0.5,Equipo B,51.0,F,Argentina,Premium,2022-09-20
44,SEO,2023-02-13,2023-02-22,3316.51,246,134,5,486.0,,,,34.0,F,Argentina,Premium,2022-06-22
45,SEO,2023-02-14,2023-02-23,4486.9,1964,64,6,237.0,Influencers,1.2,Equipo D,63.0,F,Chile,Básico,2022-08-18
46,SEO,2023-02-15,2023-02-24,3271.38,1523,186,3,286.0,,,,,,,,
47,SEO,2023-02-16,2023-02-25,1548.32,608,34,1,530.0,Email,0.1,Equipo A,55.0,M,Chile,Básico,2023-03-01
49,Redes Sociales,2023-02-18,2023-02-27,4415.44,501,170,5,515.0,,,,60.0,M,México,Premium,2022-11-12
50,Redes Sociales,2023-02-19,2023-02-28,595.71,338,32,4,525.0,Instagram Ads,500.0,Equipo C,,,,,
51,Google Ads,2023-02-20,2023-03-01,4436.16,1214,29,6,515.0,Influencers,1.2,Equipo D,60.0,M,México,Premium,2022-11-12
52,Redes Sociales,2023-02-21,2023-03-02,2880.22,1157,100,1,125.0,Email,0.1,Equipo A,,,,,
53,Google Ads,2023-02-22,2023-03-03,4725.8,1767,129,5,470.0,,,,34.0,F,Argentina,Premium,2023-10-04
54,SEO,2023-02-23,2023-03-04,4094.52,440,-1,6,484.0,Influencers,1.2,Equipo D,52.0,F,Chile,Premium,2023-03-10
55,Google Ads,2023-02-24,2023-03-05,4990.7,1664,192,4,155.0,Instagram Ads,500.0,Equipo C,,,,,
57,SEO,2023-02-26,2023-03-07,3952.35,1599,44,5,205.0,,,,,,,,
58,Email,2023-02-27,2023-03-08,2308.69,264,81,1,229.0,Email,0.1,Equipo A,,,,,
59,Google Ads,2023-02-28,2023-03-09,2659.44,1476,109,4,475.0,Instagram Ads,500.0,Equipo C,40.0,F,México,Básico,2023-06-23
60,Email,2023-03-01,2023-03-10,3323.77,177,122,3,407.0,,,,42.0,M,Chile,Básico,2023-04-26
61,Google Ads,2023-03-02,2023-03-11,4431.55,1895,46,6,190.0,Influencers,1.2,Equipo D,,,,,
62,Google Ads,2023-03-03,2023-03-12,4928.38,1550,51,5,492.0,,,,22.0,M,España,Premium,2023-09-06
64,Email,2023-03-05,2023-03-14,2379.95,453,26,2,209.0,Facebook Ads,0.5,Equipo B,45.0,M,México,Básico,2023-04-17
67,SEO,2023-03-08,2023-03-17,1574.5,387,31,4,439.0,Instagram Ads,500.0,Equipo C,36.0,F,México,Premium,2022-01-03
69,SEO,2023-03-10,2023-03-19,2095.8,763,84,1,455.0,Email,0.1,Equipo A,53.0,M,México,Premium,2022-11-29
70,Redes Sociales,2023-03-11,2023-03-20,1792.58,410,166,6,267.0,Influencers,1.2,Equipo D,33.0,M,Chile,Básico,2022-05-25
72,Redes Sociales,2023-03-13,2023-03-22,1551.23,1465,93,3,551.0,,,,,,,,
73,Email,2023-03-14,2023-03-23,689.42,267,70,1,204.0,Email,0.1,Equipo A,,,,,
74,Redes Sociales,2023-03-15,2023-03-24,580.43,1647,16,1,249.0,Email,0.1,Equipo A,69.0,F,Chile,Premium,2022-06-23
75,Email,2023-03-16,2023-03-25,4944.75,1742,172,4,245.0,Instagram Ads,500.0,Equipo C,48.0,M,Chile,Básico,2022-03-21
76,Redes Sociales,2023-03-17,2023-03-26,2424.98,251,77,1,398.0,Email,0.1,Equipo A,42.0,M,Argentina,Básico,2022-09-22
77,SEO,2023-03-18,2023-03-27,2229.47,66,80,4,266.0,Instagram Ads,500.0,Equipo C,,,,,
78,SEO,2023-03-19,2023-03-28,3558.41,371,94,4,147.0,Instagram Ads,500.0,Equipo C,,,,,
79,Google Ads,2023-03-20,2023-03-29,1482.14,567,14,5,338.0,,,,18.0,F,Colombia,Premium,2022-01-23
81,Google Ads,2023-03-22,2023-03-31,4038.55,1398,180,6,563.0,Influencers,1.2,Equipo D,53.0,F,Argentina,Premium,2023-06-06
82,SEO,2023-03-23,2023-04-01,902.35,1485,24,3,552.0,,,,26.0,F,México,Premium,2022-07-12
83,Email,2023-03-24,2023-04-02,2379.11,1391,43,3,470.0,,,,34.0,F,Argentina,Premium,2023-10-04
85,Google Ads,2023-03-26,2023-04-04,4751.29,1155,70,4,586.0,Instagram Ads,500.0,Equipo C,,,,,
86,Google Ads,2023-03-27,2023-04-05,2603.31,1547,69,4,310.0,Instagram Ads,500.0,Equipo C,47.0,M,Argentina,Básico,2023-12-01
87,Redes Sociales,2023-03-28,2023-04-06,3260.35,1541,183,1,264.0,Email,0.1,Equipo A,,,,,
88,Email,2023-03-29,2023-04-07,1251.65,474,-1,5,224.0,,,,67.0,F,España,Premium,2023-06-26
89,SEO,2023-03-30,2023-04-08,4960.26,1804,-1,1,436.0,Email,0.1,Equipo A,,,,,
90,Redes Sociales,2023-03-31,2023-04-09,1542.52,1762,156,5,291.0,,,,48.0,M,Chile,Premium,2023-07-10
