campaign_id,tipo_campaña,fecha_inicio,fecha_fin,presupuesto,clicks,conversiones,channel_id,customer_id
1,Google Ads,2023-01-01,,1333.1,932,148,5,
2,SEO,2023-01-02,2023-01-11,2938.55,362,20,3,
3,Email,2023-01-03,2023-01-12,4428.26,889,50,2,183.0
4,Google Ads,2023-01-04,2023-01-13,3795.01,568,-1,5,142.0
5,Google Ads,2023-01-05,2023-01-14,4129.53,1279,163,3,232.0
6,SEO,2023-01-06,2023-01-15,3464.53,424,111,1,494.0
7,Email,2023-01-07,2023-01-16,3615.24,500,92,3,164.0
8,Email,2023-01-08,2023-01-17,4321.38,1699,133,1,389.0
9,Google Ads,2023-01-09,2023-01-18,1623.51,1857,143,5,475.0
10,Redes Sociales,2023-01-10,2023-01-19,2702.41,1064,123,6,566.0
11,Google Ads,2023-01-11,2023-01-20,1495.44,644,89,5,312.0
12,Google Ads,2023-01-12,2023-01-21,4944.51,1252,8,4,247.0
13,Google Ads,2023-01-13,2023-01-22,4748.27,1283,75,4,
14,Google Ads,2023-01-14,2023-01-23,677.42,549,158,4,570.0
15,SEO,2023-01-15,2023-01-24,3675.09,513,115,5,248.0
16,Email,2023-01-16,2023-01-25,4663.62,1913,54,2,187.0
17,SEO,2023-01-17,2023-01-26,1312.59,1197,144,5,423.0
18,SEO,2023-01-18,2023-01-27,3055.75,162,99,6,495.0
19,SEO,2023-01-19,2023-01-28,4619.7,1085,96,3,503.0
20,Google Ads,2023-01-20,2023-01-29,652.76,1199,-1,5,181.0
21,Redes Sociales,2023-01-21,2023-01-30,3638.39,1638,51,5,385.0
22,Email,2023-01-22,2023-01-31,1838.07,380,185,1,481.0
23,Redes Sociales,2023-01-23,2023-02-01,4659.78,1974,110,1,369.0
24,SEO,2023-01-24,2023-02-02,4869.76,1356,134,1,391.0
25,SEO,2023-01-25,2023-02-03,4749.2,189,110,5,552.0
26,Redes Sociales,2023-01-26,2023-02-04,2633.96,1474,28,2,123.0
27,Redes Sociales,2023-01-27,2023-02-05,4379.19,951,8,3,410.0
28,Redes Sociales,2023-01-28,2023-02-06,4300.47,1170,112,3,560.0
29,SEO,2023-01-29,2023-02-07,1935.95,566,23,6,307.0
30,SEO,2023-01-30,2023-02-08,4230.12,618,158,2,537.0
31,Email,2023-01-31,2023-02-09,666.53,1997,44,2,
32,Email,2023-02-01,2023-02-10,3183.21,895,54,3,435.0
33,SEO,2023-02-02,,1535.04,1142,175,4,521.0
34,Redes Sociales,2023-02-03,2023-02-12,1042.55,167,79,1,420.0
35,Redes Sociales,2023-02-04,2023-02-13,846.29,937,199,1,596.0
36,Email,2023-02-05,2023-02-14,3633.3,1132,16,3,
37,SEO,2023-02-06,,2029.44,1106,199,2,262.0
38,Email,2023-02-07,,3761.45,1391,31,6,
39,Email,2023-02-08,2023-02-17,794.1,99,117,4,264.0
40,Google Ads,2023-02-09,2023-02-18,1918.81,1953,186,3,
41,Google Ads,2023-02-10,,2927.71,1562,198,1,394.0
42,Google Ads,2023-02-11,2023-02-20,4058.25,68,53,5,141.0
43,Redes Sociales,2023-02-12,2023-02-21,1934.39,775,148,2,384.0
44,SEO,2023-02-13,2023-02-22,3316.51,246,134,5,486.0
45,SEO,2023-02-14,2023-02-23,4486.9,1964,64,6,237.0
46,SEO,2023-02-15,2023-02-24,3271.38,1523,186,3,286.0
47,SEO,2023-02-16,2023-02-25,1548.32,608,34,1,530.0
48,Google Ads,2023-02-17,2023-02-26,609.8,1752,88,4,
49,Redes Sociales,2023-02-18,2023-02-27,4415.44,501,170,5,515.0
50,Redes Sociales,2023-02-19,2023-02-28,595.71,338,32,4,525.0
51,Google Ads,2023-02-20,2023-03-01,4436.16,1214,29,6,515.0
52,Redes Sociales,2023-02-21,2023-03-02,2880.22,1157,100,1,125.0
53,Google Ads,2023-02-22,2023-03-03,4725.8,1767,129,5,470.0
54,SEO,2023-02-23,2023-03-04,4094.52,440,-1,6,484.0
55,Google Ads,2023-02-24,2023-03-05,4990.7,1664,192,4,155.0
56,SEO,2023-02-25,,2078.2,264,46,4,352.0
57,SEO,2023-02-26,2023-03-07,3952.35,1599,44,5,205.0
58,Email,2023-02-27,2023-03-08,2308.69,264,81,1,229.0
59,Google Ads,2023-02-28,2023-03-09,2659.44,1476,109,4,475.0
60,Email,2023-03-01,2023-03-10,3323.77,177,122,3,407.0
